[Link],link_id,from_node_id,to_node_id,direction,length,number_of_lanes,speed_limit,lane_capacity_in_vhc_per_hour,link_type,jam_density,wave_speed,mode_code,grade,geometry,original_geometry,BPR_alpha_term,BPR_beta_term,number_of_left_turn_lanes,length_of_left_turn_lanes,number_of_right_turn_lanes,length_of_right_turn_lanes,from_approach,to_approach,reversed_link_id
,0,1351,5209,1,0.25241,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.943533,40.567891,0.0 -111.938736,40.567973,0.0</coordinates></LineString>","<LineString><coordinates>-111.943535,40.568001,0.0 -111.938738,40.568083,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,5209,1351,1,0.25241,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.938740,40.568193,0.0 -111.943537,40.568111,0.0</coordinates></LineString>","<LineString><coordinates>-111.938738,40.568083,0.0 -111.943535,40.568001,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1352,5209,1,0.25159,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.933958,40.567986,0.0 -111.938733,40.568193,0.0</coordinates></LineString>","<LineString><coordinates>-111.933963,40.567876,0.0 -111.938738,40.568083,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,5209,1352,1,0.25159,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.938743,40.567973,0.0 -111.933968,40.567766,0.0</coordinates></LineString>","<LineString><coordinates>-111.938738,40.568083,0.0 -111.933963,40.567876,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1352,6256,1,0.25401,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.933959,40.567766,0.0 -111.929135,40.567934,0.0</coordinates></LineString>","<LineString><coordinates>-111.933963,40.567876,0.0 -111.929139,40.568044,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,6256,1352,1,0.25401,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.929143,40.568154,0.0 -111.933967,40.567986,0.0</coordinates></LineString>","<LineString><coordinates>-111.929139,40.568044,0.0 -111.933963,40.567876,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1352,11181,1,0.3966,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.933867,40.567823,0.0 -111.930935,40.573120,0.0</coordinates></LineString>","<LineString><coordinates>-111.933963,40.567876,0.0 -111.931031,40.573173,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,11181,1352,1,0.3966,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.931127,40.573226,0.0 -111.934059,40.567929,0.0</coordinates></LineString>","<LineString><coordinates>-111.931031,40.573173,0.0 -111.933963,40.567876,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1352,11261,1,0.38626,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.934072,40.567889,0.0 -111.934721,40.562311,0.0</coordinates></LineString>","<LineString><coordinates>-111.933963,40.567876,0.0 -111.934612,40.562298,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,11261,1352,1,0.38626,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.934503,40.562285,0.0 -111.933854,40.567863,0.0</coordinates></LineString>","<LineString><coordinates>-111.934612,40.562298,0.0 -111.933963,40.567876,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1353,5589,1,0.25639,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.934157,40.584062,0.0 -111.933954,40.587775,0.0</coordinates></LineString>","<LineString><coordinates>-111.934266,40.584068,0.0 -111.934063,40.587781,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,5589,1353,1,0.25639,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.934172,40.587787,0.0 -111.934375,40.584074,0.0</coordinates></LineString>","<LineString><coordinates>-111.934063,40.587781,0.0 -111.934266,40.584068,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1353,11172,1,0.23952,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.934264,40.584178,0.0 -111.938817,40.584281,0.0</coordinates></LineString>","<LineString><coordinates>-111.934266,40.584068,0.0 -111.938819,40.584171,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,11172,1353,1,0.23952,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.938821,40.584061,0.0 -111.934268,40.583958,0.0</coordinates></LineString>","<LineString><coordinates>-111.938819,40.584171,0.0 -111.934266,40.584068,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1353,11173,1,0.26483,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.934259,40.583959,0.0 -111.929239,40.584260,0.0</coordinates></LineString>","<LineString><coordinates>-111.934266,40.584068,0.0 -111.929246,40.584369,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,11173,1353,1,0.26483,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.929253,40.584478,0.0 -111.934273,40.584177,0.0</coordinates></LineString>","<LineString><coordinates>-111.929246,40.584369,0.0 -111.934266,40.584068,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1354,5592,1,0.26274,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.923324,40.584019,0.0 -111.922071,40.587707,0.0</coordinates></LineString>","<LineString><coordinates>-111.923428,40.584054,0.0 -111.922175,40.587742,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,5592,1354,1,0.26274,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.922279,40.587777,0.0 -111.923532,40.584089,0.0</coordinates></LineString>","<LineString><coordinates>-111.922175,40.587742,0.0 -111.923428,40.584054,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1354,11173,1,0.30673,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.923422,40.584163,0.0 -111.929240,40.584478,0.0</coordinates></LineString>","<LineString><coordinates>-111.923428,40.584054,0.0 -111.929246,40.584369,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,11173,1354,1,0.30673,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.929252,40.584260,0.0 -111.923434,40.583945,0.0</coordinates></LineString>","<LineString><coordinates>-111.929246,40.584369,0.0 -111.923428,40.584054,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
